ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,PCB Mounted,Alt Supplier,Alt Supplier Part,,
1,SST39SF040-70-4C-PHE,U1,DIP32,1,SST39SF040-70-4C-PHE,Microchip Tech,Mouser,804-39SF0407CPHE,No,,,,
2,AS6C4008-55SIN,U2,DIP32,1,AS6C4008-55SIN,Alliance,Mouser,913-AS6C4008-55SIN,No,,,,
3,74HC670,"U3,U4",DIP16,2,CD74HC670E,TI,Mouser,595-CD74HC670E,No,,,,
4,74HCT139N,U5,DIP16,1,SN74HCT139N,TI,Mouser,595-SN74HCT139N,No,,,,
5,74HCT74N,U6,DIP14,1,SN74HCT74N,TI,Mouser,595-SN74HCT74N,No,Farnell,9591699,,
6,74HCT138N,U7,DIP16,1,74HCT138N,TI,Mouser,595-SN74HCT138N,No,Farnell,1470803,,
7,74HCT00N,U8,DIP14,1,SN74HCT00N,TI,Mouser,595-SN74HCT00N,No,,,,
8,74HCT257N,"U9,U10",DIP16,2,SN74HCT257N,TI,Mouser,595-SN74HCT257N,No,,,,
9,74HCT32N,U11,DIP14,1,SN74HCT32N,TI,Mouser,595-SN74HCT32N,No,,,,
10,32 PIN IC SOCKET,"U1,U2",DIP20,2,4832-6000-CP,TE Conn,Mouser,517-4832-6000-CP,Yes,Farnell,2984769,,
11,16 PIN IC SOCKET,"U3,U4,U5,U7,U9,U10",DIP16,6,1-2199298-4,TE Conn,Mouser,4816-3000-CP,Yes,Farnell,2445622,,
12,14 PIN IC SOCKET,"U6,U8,U11",DIP14,3,1-2199298-3,TE Conn,Mouser,4814-3004-CP,Yes,Farnell,2445621,,
13,10K,R3,AXIAL 3.2x1.8 1/8 WATT,1,299-10K-RC,Xicon,Mouser,299-10K-RC,Yes,,,,
14,CAPACITOR 100nF 2.5mm CERAMIC,"C2, C3",PKG-CERAMIC CAPACITOR 6X2,2,FG18X7R1H104KNT00,TDK,Mouser,810-FG18X7R1H104KNT0,Yes,,,,
15,1x40 HEADER,"P3, P4, P5, P6,J1","1x3,1x3,1x3,1x3,1x2",,M20-9994046,Harwin,Mouser,855-M20-9994046,Yes,,,,
16,2x40 90 DEGREE HEADER,"P1,P2",2x40,1,9-103324-0,TE Conn,Mouser,571-9-103324-0,Yes,,,,
17,RArray8,"R1,R2",RESISTOR_ARRAY_SIP_9,2,4609X-101-103LF,Bourns,Mouser,652-4609X-1LF-10K,Yes,,,,
,,,,,,,,,,,,,
